Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
toilet,0.3591037094593048,232,91,443,307,1743650431.4580638
Ratón,0.3453584909439087,418,184,592,288,1743650431.6391652
Gato,0.4687413275241852,1,0,627,477,1743650431.6997492
Control remoto,0.26889845728874207,415,199,599,321,1743650431.6998858
Gato,0.4687413275241852,1,0,627,477,1743650431.7475836
Control remoto,0.26889845728874207,415,199,599,321,1743650431.747713
Perro,0.3223225176334381,2,5,639,479,1743650431.7933016
Gato,0.25224021077156067,343,29,639,373,1743650431.7934382
Perro,0.3223225176334381,2,5,639,479,1743650431.839818
Gato,0.25224021077156067,343,29,639,373,1743650431.8399503
Gato,0.28746145963668823,341,5,639,378,1743650431.8885334
Gato,0.33438923954963684,0,5,620,478,1743650431.9354553
Gato,0.3066703975200653,1,153,636,478,1743650431.9355874
Perro,0.26716145873069763,387,221,639,479,1743650432.079999
Gato,0.39461109042167664,391,2,639,477,1743650432.1287746
Gato,0.38884320855140686,19,0,630,477,1743650432.1289055
Gato,0.39461109042167664,391,2,639,477,1743650432.1771233
Gato,0.38884320855140686,19,0,630,477,1743650432.17726
Perro,0.5607196092605591,372,149,639,479,1743650432.2252312
Gato,0.342456191778183,10,1,578,475,1743650432.2253764
Perro,0.4972785711288452,362,157,639,479,1743650432.2726064
Gato,0.2526528239250183,4,0,552,475,1743650432.272753
Gato,0.5517749786376953,12,0,550,476,1743650432.3212407
Perro,0.3033143877983093,280,0,639,478,1743650432.3681223
Gato,0.28798708319664,4,1,614,476,1743650432.3682525
Gato,0.6006717681884766,2,0,469,477,1743650432.4172664
Gato,0.688592791557312,2,0,484,479,1743650432.4637754
Gato,0.6759412288665771,2,0,485,479,1743650432.5144684
Gato,0.5284547209739685,2,0,501,478,1743650432.5602927
Gato,0.5284547209739685,2,0,501,478,1743650432.6090934
Gato,0.4370526671409607,7,0,513,479,1743650432.6575575
Gato,0.5369650721549988,7,0,518,477,1743650432.705626
Gato,0.38430604338645935,54,0,517,477,1743650432.7521687
Gato,0.4910482168197632,50,0,516,478,1743650432.8491855
Gato,0.4910482168197632,50,0,516,478,1743650432.897163
Gato,0.3954058289527893,18,0,504,478,1743650432.945028
Gato,0.29576119780540466,23,1,490,477,1743650432.9930706
tennis racket,0.2752532660961151,507,429,639,479,1743650433.0880332
tennis racket,0.3389815390110016,500,424,639,479,1743650433.3753805
Gato,0.2942643165588379,17,1,481,478,1743650433.4207637
Gato,0.457515150308609,11,0,478,478,1743650433.4705045
Gato,0.48544588685035706,9,0,477,477,1743650433.5176013
Gato,0.372627854347229,12,0,478,477,1743650433.5652487
Gato,0.372627854347229,12,0,478,477,1743650433.6123683
Gato,0.2611008882522583,10,1,473,478,1743650433.6609488
Gato,0.2611008882522583,10,1,473,478,1743650433.7100291
Gato,0.34881511330604553,8,0,470,478,1743650433.7598472
Gato,0.455309122800827,2,0,472,476,1743650433.8050604
Gato,0.4399738311767578,11,0,640,477,1743650433.8529801
Gato,0.4399738311767578,11,0,640,477,1743650433.8988698
Gato,0.3427538275718689,1,0,462,477,1743650433.9484482
Gato,0.2663620710372925,11,0,639,480,1743650434.4155397
Gato,0.2833711802959442,10,0,639,477,1743650434.7677026
Gato,0.2833711802959442,10,0,639,477,1743650434.8140416
Gato,0.2990231215953827,10,0,639,478,1743650434.9641209
Humano,0.26062649488449097,448,241,639,479,1743650435.6643162
Humano,0.26062649488449097,448,241,639,479,1743650435.7155719
Humano,0.35516470670700073,454,241,639,479,1743650436.4029555
Humano,0.2859555184841156,455,246,639,479,1743650436.4977317
Humano,0.2650434374809265,461,243,639,479,1743650437.0405471
Gato,0.30842098593711853,1,0,478,477,1743650437.5798314
Platillo volador no identificado,0.30447906255722046,269,94,562,267,1743650438.5915325
Gato,0.6846810579299927,2,0,635,478,1743650438.7515965
Gato,0.6569335460662842,6,0,638,479,1743650438.7970316
Gato,0.5156137347221375,3,2,633,477,1743650438.8466666
suitcase,0.5068833231925964,0,0,638,477,1743650438.8468008
Gato,0.3726961016654968,0,0,629,479,1743650438.894012
